"","Month","Anti-social behaviour","Bicycle theft","Burglary","Criminal damage and arson","Drugs","Other crime","Other theft","Possession of weapons","Public order","Robbery","Shoplifting","Theft from the person","Vehicle crime","Violence and sexual offences"
"1",2015-01-01,104,16,17,18,52,16,122,2,14,5,48,41,13,62
"2",2015-02-01,88,19,20,19,24,12,132,2,17,1,60,28,11,68
"3",2015-03-01,87,24,23,11,30,13,148,4,20,2,51,44,7,70
"4",2015-04-01,62,31,28,15,39,10,110,5,16,3,62,42,9,61
"5",2015-05-01,71,20,29,13,26,11,119,,18,2,65,33,17,67
"6",2015-06-01,77,30,24,22,31,11,117,1,18,1,49,34,8,96
"7",2015-07-01,79,32,16,25,33,11,146,1,25,8,56,30,9,76
"8",2015-08-01,92,23,12,21,45,21,111,3,21,5,63,28,6,67
"9",2015-09-01,67,25,14,14,35,23,124,1,23,6,48,40,7,72
"10",2015-10-01,59,26,16,32,25,11,111,2,12,1,66,34,7,79
"11",2015-11-01,62,23,20,24,28,15,112,5,28,3,70,39,5,77
"12",2015-12-01,64,20,28,18,29,11,145,6,32,5,55,43,5,100
"13",2016-01-01,65,15,14,29,36,11,84,5,22,2,54,33,13,63
"14",2016-02-01,92,14,15,24,29,18,109,2,25,5,55,33,14,74
"15",2016-03-01,57,16,16,28,34,20,144,3,25,1,37,35,9,74
"16",2016-04-01,79,34,17,21,29,9,114,4,16,3,64,25,19,78
"17",2016-05-01,50,26,21,14,27,17,104,3,17,1,49,36,20,73
"18",2016-06-01,64,38,11,13,27,13,138,1,18,1,44,39,15,78
"19",2016-07-01,73,35,21,27,29,20,104,3,21,6,58,50,16,73
"20",2016-08-01,96,52,17,17,39,18,136,2,18,5,53,34,19,84
"21",2016-09-01,155,45,24,20,37,13,124,7,25,3,62,47,13,73
"22",2016-10-01,168,31,32,14,20,16,115,5,17,,56,25,20,89
"23",2016-11-01,167,27,25,20,21,15,164,3,24,2,52,29,13,72
"24",2016-12-01,157,22,31,19,29,16,129,4,14,1,62,39,6,117
"25",2017-01-01,129,18,19,13,21,13,90,2,16,3,67,29,15,48
"26",2017-02-01,146,18,20,27,29,10,128,1,20,3,75,47,11,62
"27",2017-03-01,179,26,15,22,19,19,174,6,17,,87,64,16,71
"28",2017-04-01,152,33,20,31,34,12,137,4,19,3,60,35,13,73
"29",2017-05-01,,32,27,24,31,11,140,1,20,2,62,64,16,75
"30",2017-06-01,151,36,13,16,20,9,113,4,24,8,56,48,13,95
"31",2017-07-01,139,39,12,12,32,21,115,6,19,7,39,43,6,76
"32",2017-08-01,168,52,23,18,27,10,123,5,18,5,61,52,11,95
"33",2017-09-01,,36,25,18,29,14,99,8,22,2,65,27,20,98
